"Log In","Log In"
"to turn on One Click Checkout","to turn on One Click Checkout"
"You don\'t have any addesses","You don\'t have any addesses"
"One Click Checkout","One Click Checkout"
"General","General"
"Enabled for groups","Enabled for groups"
"Payment methods allowed","Payment methods allowed"
"Enable points","Enable points"
"No Payment Information Required","No Payment Information Required"
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"terms and conditions","terms and conditions"
"I agree with all","I agree with all"
"Checkout now and earn %s %s (%s) !","Checkout now and earn %s %s (%s) !"
"Checkout now and earn %s %s !","Checkout now and earn %s %s !"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Incl. Tax","Incl. Tax"
"Bill&nbsp;to:&nbsp;","Bill&nbsp;to:&nbsp;"
"Billing address was not found","Billing address was not found"
"Ship&nbsp;to:&nbsp;","Ship&nbsp;to:&nbsp;"
"Shipping address was not found","Shipping address was not found"
"Please wait...","Please wait..."
"Place order","Place order"
"Payment method","Payment method"
"Shipping method","Shipping method"
"Product Name","Product Name"
"Price","Price"
"Qty","Qty"
"Subtotal","Subtotal"
"Some items in cart are currently out of stock","Some items in cart are currently out of stock"
"Edit cart items","Edit cart items"
"Click, to close","Click, to close"
"Change","Change"
"Edit","Edit"
"Terms and Conditions","Terms and Conditions"